"vehicle_id","year","color","make_name","model_name","kilometer","grade","remarks","net_book_value","purchase_price","sale_price","purchase_date","sale_date","min_bid_price","expected_sale_price","fleet_status"
"1167","2022","Grey","HYUNDAI","Elantra 1.6","54835.0","GRADE_3","L.H.S Both Door & Front Fender Painted","39980.00","57550.00","46500.0","2021-11-24 00:00:00","2023-12-23","38821.0","38000.0","SOLD"
"1168","2019","White","ISUZU","D-MAX Double Cab 4x4 Diesel","266721.0","GRADE_2","Front Number Plate Missing & R.H.S Rear Fender Painted","31382.00","77000.00","54999.13","2019-08-22 00:00:00","2023-12-23","37393.0","45000.0","SOLD"
"1169","2022","Silver","MG","5","13570.0","GRADE_2","Bonnet & L.H.S Front Fender Painted","26968.00","38300.00","22111.3","2022-06-09 00:00:00","2023-12-23","29189.0","25000.0","SOLD"
"1172","2022","Red","MG","5","67166.0","GRADE_1","Engine Tabet Cover Crack","24093.00","38300.00","23611.3","2022-01-23 00:00:00","2023-12-23","27770.0","27000.0","SOLD"
"1174","2020","White","NISSAN","Sunny SV","183078.0","COMPLETE","Chassis Issue & R.H.S Full & L.H.S Both Fender & Bonnet Painted","16640.00","37000.00","19777.39","2019-12-02 00:00:00","2024-01-21","15540.0","20000.0","SOLD"
"1176","2019","White","TOYOTA","Land Cruiser GXR3 V8","48893.0","GRADE_0","No Painted","102445.00","228400.00","185000.0","2018-12-21 00:00:00","2023-12-23","125620.0","140000.0","SOLD"
"1178","2019","White","TOYOTA","Land Cruiser GXR3 V8","119261.0","GRADE_2","R.H.S Rear Both Fenders Painted","102445.00","228400.00","150200.0","2018-12-21 00:00:00","2023-12-23","119708.0","130000.0","SOLD"
"1180","2019","White","TOYOTA","Land Cruiser GXR3 V8","143639.0","GRADE_0","No Painted","102445.00","228400.00","161100.0","2018-12-21 00:00:00","2023-12-23","125620.0","130000.0","SOLD"
"1181","2019","White","TOYOTA","Land Cruiser GXR3 V8","248817.0","GRADE_0","No Painted","102445.00","228400.00","153788.69","2018-12-21 00:00:00","2023-12-23","116827.0","125000.0","SOLD"
"1182","2019","White","TOYOTA","Yaris 1.3","118859.0","GRADE_0","No Painted","21746.00","41800.00","31777.39","2019-11-17 00:00:00","2023-12-21","22990.0","28000.0","SOLD"
"1185","2019","White","TOYOTA","Yaris 1.3","134024.0","GRADE_0","No Painted","21746.00","41800.00","35121.74","2019-11-17 00:00:00","2023-12-23","22990.0","26000.0","SOLD"
"1186","2019","White","TOYOTA","Yaris 1.3","156843.0","GRADE_0","No Painted","21746.00","41800.00","31333.04","2019-11-17 00:00:00","2023-12-21","22300.0","25000.0","SOLD"
"1187","2019","White","TOYOTA","Yaris 1.3","168983.0","GRADE_2","L.H.S Rear Door & Fender Painted","21746.00","41800.00","28590.44","2019-11-17 00:00:00","2023-12-23","21218.0","24000.0","SOLD"
"119","2022","Blue      ","TOYOTA","RAIZE XLE","17885.0","GRADE_0","No Painted","46120.62","53900.00","42826.09","2022-08-03 00:00:00","2023-09-27","45815.0","45000.0","SOLD"
"1190","2021","Black","CHEVROLET","Tahoe LS 4x4","63911.0","GRADE_0","No Paint.","108519.00","174003.00","133999.13","2021-09-12 00:00:00","2023-12-28","118148.0","135000.0","SOLD"
"1192","2021","Black","CHEVROLET","Tahoe LS 4x4","69465.0","GRADE_1","R.H S Front Fender Painted.","127900.00","181410.00","127999.13","2022-02-15 00:00:00","2023-12-28","120170.0","130000.0","SOLD"
"1193","2021","Black","FORD","F-150 DC XLT V6","43998.0","GRADE_2","RHS Rear Door & Fender Painted","82700.00","141715.00","91687.83","2021-12-02 00:00:00","2024-01-29","94502.0","100000.0","SOLD"
"1195","2022","Blue","FORD","Taurus Ambiente","30983.0","GRADE_0","No Paint.","67523.00","104515.00","84510.44","2021-12-31 00:00:00","2023-12-28","81104.0","85000.0","SOLD"
"1196","2021","Silver","HYUNDAI","Accent","73985.0","GRADE_3","Bonnet Painted. Both Side Front Fenders Painted.","24284.00","44550.00","32713.04","2021-02-22 00:00:00","2024-02-24","30052.0","35000.0","SOLD"
